"sampleID","patient","type","A1BG"
"TCGA-78-8660-01A","TCGA-78-8660","tumor",412.007
"TCGA-78-8662-01A","TCGA-78-8662","tumor",576.3203
"TCGA-80-5607-01A","TCGA-80-5607","tumor",25.2238
"TCGA-80-5608-01A","TCGA-80-5608","tumor",36.5282
"TCGA-80-5611-01A","TCGA-80-5611","tumor",207.8986
"TCGA-83-5908-01A","TCGA-83-5908","tumor",28.543
"TCGA-86-6562-01A","TCGA-86-6562","tumor",166.4103
"TCGA-86-6851-01A","TCGA-86-6851","tumor",92.814
"TCGA-86-7701-01A","TCGA-86-7701","tumor",59.0095
"TCGA-86-7711-01A","TCGA-86-7711","tumor",245.1795
"TCGA-86-7713-01A","TCGA-86-7713","tumor",89.8936
"TCGA-86-7714-01A","TCGA-86-7714","tumor",16.6165
"TCGA-86-7953-01A","TCGA-86-7953","tumor",32.4219
"TCGA-86-7954-01A","TCGA-86-7954","tumor",72.0398
"TCGA-86-7955-01A","TCGA-86-7955","tumor",68.3817
"TCGA-86-8054-01A","TCGA-86-8054","tumor",20.9808
"TCGA-86-8055-01A","TCGA-86-8055","tumor",68.937
"TCGA-86-8056-01A","TCGA-86-8056","tumor",36.643
"TCGA-86-8073-01A","TCGA-86-8073","tumor",99.9141
"TCGA-86-8074-01A","TCGA-86-8074","tumor",52.584
"TCGA-86-8075-01A","TCGA-86-8075","tumor",80.4514
"TCGA-86-8076-01A","TCGA-86-8076","tumor",102.5258
"TCGA-86-8278-01A","TCGA-86-8278","tumor",39.7563
"TCGA-86-8279-01A","TCGA-86-8279","tumor",207.7719
"TCGA-86-8280-01A","TCGA-86-8280","tumor",110.8433
"TCGA-86-8281-01A","TCGA-86-8281","tumor",84.6797
"TCGA-86-8358-01A","TCGA-86-8358","tumor",109.4933
"TCGA-86-8359-01A","TCGA-86-8359","tumor",534.5383
"TCGA-86-8585-01A","TCGA-86-8585","tumor",93.7393
"TCGA-86-8668-01A","TCGA-86-8668","tumor",79.7842
"TCGA-86-8669-01A","TCGA-86-8669","tumor",32.0479
"TCGA-86-8671-01A","TCGA-86-8671","tumor",290.2659
"TCGA-86-8672-01A","TCGA-86-8672","tumor",250.0347
"TCGA-86-8673-01A","TCGA-86-8673","tumor",464.4054
"TCGA-86-8674-01A","TCGA-86-8674","tumor",34.2889
"TCGA-86-A456-01A","TCGA-86-A456","tumor",164.501
"TCGA-86-A4D0-01A","TCGA-86-A4D0","tumor",14.4253
"TCGA-86-A4JF-01A","TCGA-86-A4JF","tumor",176.2489
"TCGA-86-A4P7-01A","TCGA-86-A4P7","tumor",86.1148
"TCGA-86-A4P8-01A","TCGA-86-A4P8","tumor",110.6153
"TCGA-91-6828-01A","TCGA-91-6828","tumor",20.8249
"TCGA-91-6829-01A","TCGA-91-6829","tumor",79.7212
"TCGA-91-6830-01A","TCGA-91-6830","tumor",55.1724
"TCGA-91-6831-01A","TCGA-91-6831","tumor",177.4339
"TCGA-91-6835-01A","TCGA-91-6835","tumor",46.7404
"TCGA-91-6836-01A","TCGA-91-6836","tumor",13.3436
"TCGA-91-6840-01A","TCGA-91-6840","tumor",156.2536
"TCGA-91-6847-01A","TCGA-91-6847","tumor",91.6895
"TCGA-91-6848-01A","TCGA-91-6848","tumor",74.5351
"TCGA-91-6849-01A","TCGA-91-6849","tumor",27.0634
"TCGA-91-7771-01A","TCGA-91-7771","tumor",125.7143
"TCGA-91-8496-01A","TCGA-91-8496","tumor",112.2893
"TCGA-91-8497-01A","TCGA-91-8497","tumor",115.3732
"TCGA-91-8499-01A","TCGA-91-8499","tumor",194.3051
"TCGA-91-A4BC-01A","TCGA-91-A4BC","tumor",214.3538
"TCGA-91-A4BD-01A","TCGA-91-A4BD","tumor",198.8831
"TCGA-93-7347-01A","TCGA-93-7347","tumor",430.6915
"TCGA-93-7348-01A","TCGA-93-7348","tumor",62.8682
